table_id	table_name	ind_id	ind_name
Table1.4	Группировка действующих кредитных организаций по величине зарегистрированного уставного капитала	299	До 3 млн. руб.
Table1.2	Kоличество действующих кредитных организаций и их филиалов	297	Количество филиалов в регионе кредитных организаций, головная организация которых находится в данном регионе
Table1.6	Kонцентрация активов действующих кредитных организаций (01.01.2001 - 01.04.2007)	294	Активы
Table1.6	Kонцентрация активов действующих кредитных организаций (01.01.2001 - 01.04.2007)	295	Kоличество кредитных организаций, составляющих 80% активов
Table4.8	Сведения о  задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам (01.04.2003 - 01.04.2007)	292	Кредитными организациями других регионов, не имеющими филиалов в данном регионе
Table1.6	Kонцентрация активов действующих кредитных организаций (01.01.2001 - 01.04.2007)	293	Kоличество кредитных организаций
Table4.8	Сведения о  задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам (01.04.2003 - 01.04.2007)	290	Кредитными организациями данного региона
Table4.8	Сведения о  задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам (01.04.2003 - 01.04.2007)	291	Филиалами кредитных организаций других регионов, расположенными в данном регионе
Table4.33	Объем просроченной задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности, физическим лицам и индивидуальным предпринимателям (01.01.2008 - 01.10.2008)	591	Юридическим лицам строительство
Table4.33	Объем просроченной задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности, физическим лицам и индивидуальным предпринимателям (01.01.2008 - 01.10.2008)	590	Юридическим лицам сельское хозяйство, охота и лесное хозяйство
Table4.33	Объем просроченной задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности, физическим лицам и индивидуальным предпринимателям (01.01.2008 - 01.10.2008)	593	Юридическим лицам оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования
Table4.33	Объем просроченной задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности, физическим лицам и индивидуальным предпринимателям (01.01.2008 - 01.10.2008)	592	Юридическим лицам транспорт и связь
Table4.33	Объем просроченной задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности, физическим лицам и индивидуальным предпринимателям (01.01.2008 - 01.10.2008)	595	Физическим лицам
Table4.33	Объем просроченной задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности, физическим лицам и индивидуальным предпринимателям (01.01.2008 - 01.10.2008)	594	Юридическим лицам прочие виды деятельности
Table4.33	Объем просроченной задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности, физическим лицам и индивидуальным предпринимателям (01.01.2008 - 01.10.2008)	597	Юридическим лицам, в том числе: добыча топливно-энергетических ископаемых
Table4.33	Объем просроченной задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности, физическим лицам и индивидуальным предпринимателям (01.01.2008 - 01.10.2008)	596	Индивидуальным предпринимателям
Table1.5	Группировка действующих кредитных организаций по доле участия нерезидентов в уставном капитале	195	От 50 до 100 %
Table1.5	Группировка действующих кредитных организаций по доле участия нерезидентов в уставном капитале	194	От 20 до 50 %
Table1.7	Финансовые результаты деятельности кредитных организаций (с учетом прибыли/убытков предшествующих лет) (01.04.2002 - 01.01.2005)	197	Общий объем прибыли (+)/убытков (-), полученных действующими кредитными организациями, млн. руб.
Table1.5	Группировка действующих кредитных организаций по доле участия нерезидентов в уставном капитале	196	100 %
Table1.3	Количество действующих кредитных организаций с участием нерезидентов в уставном капитале	191	Действующие кредитные организации, имеющие лицензии, предоставляющие право на осуществление операций в иностранной валюте
Table1.3	Количество действующих кредитных организаций с участием нерезидентов в уставном капитале	190	Действующие кредитные организации, имеющие лицензии, предоставляющие право на привлечение вкладов населения
Table1.5	Группировка действующих кредитных организаций по доле участия нерезидентов в уставном капитале	193	От 1 до 20 %
Table1.5	Группировка действующих кредитных организаций по доле участия нерезидентов в уставном капитале	192	До 1 %
Table27.1	Средства клиентов в иностранной валюте по кредитным организациям, зарегистрированным в данном регионе (01.02.2003 - 01.01.2008)	270	Средства бюджетов на расчетных и текущих счетах
Table27.1	Средства клиентов в иностранной валюте по кредитным организациям, зарегистрированным в данном регионе (01.02.2003 - 01.01.2008)	271	Средства государственных внебюджетных фондов на расчетных и текущих счетах
Table27.1	Средства клиентов в иностранной валюте по кредитным организациям, зарегистрированным в данном регионе (01.02.2003 - 01.01.2008)	272	Средства предприятий и организаций на расчетных, текущих и прочих счетах
Table27.1	Средства клиентов в иностранной валюте по кредитным организациям, зарегистрированным в данном регионе (01.02.2003 - 01.01.2008)	273	Депозиты юридических лиц
Table27.1	Средства клиентов в иностранной валюте по кредитным организациям, зарегистрированным в данном регионе (01.02.2003 - 01.01.2008)	274	Вклады физических лиц (до 01.07.2005 Депозиты и прочие привлеченные средства физических лиц)
Table27.2	Средства клиентов в иностранной валюте (по головным офисам кредитных организаций и филиалам, расположенным на территории региона) (01.02.2003 - 01.01.2008)	275	Всего
Table27.2	Средства клиентов в иностранной валюте (по головным офисам кредитных организаций и филиалам, расположенным на территории региона) (01.02.2003 - 01.01.2008)	276	Средства бюджетов на расчетных и текущих счетах
Table27.2	Средства клиентов в иностранной валюте (по головным офисам кредитных организаций и филиалам, расположенным на территории региона) (01.02.2003 - 01.01.2008)	277	Средства государственных внебюджетных фондов на расчетных и текущих счетах
Table27.2	Средства клиентов в иностранной валюте (по головным офисам кредитных организаций и филиалам, расположенным на территории региона) (01.02.2003 - 01.01.2008)	278	Средства предприятий и организаций на расчетных, текущих и прочих счетах
Table27.2	Средства клиентов в иностранной валюте (по головным офисам кредитных организаций и филиалам, расположенным на территории региона) (01.02.2003 - 01.01.2008)	279	Депозиты юридических лиц
Table4.36	Сведения о задолженности по кредитам юридических лиц и индивидуальных предпринимателей по видам экономической деятельности в рублях	738	Всего, в том числе оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования
Table4.26	Сведения о  задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам (01.07.2007 - 01.10.2008)	524	Всего
Table4.27	Сведения о  задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам (01.07.2007 - 01.10.2008)	525	Кредитными организациями данного региона
Table4.27	Сведения о  задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам (01.07.2007 - 01.10.2008)	526	Филиалами кредитных организаций других регионов, расположенными в данном регионе
Table4.27	Сведения о  задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам (01.07.2007 - 01.10.2008)	527	Кредитными организациями других регионов, не имеющими филиалов в данном регионе
Table4.25	Объем просроченной задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности, физическим лицам и индивидуальным предпринимателям (01.07.2007 - 01.10.2007)	520	Юридическим лицам операции с недвижимым имуществом, аренда и предоставление услуг
Table4.26	Сведения о  задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам (01.07.2007 - 01.10.2008)	521	Кредитными организациями данного региона
Table4.26	Сведения о  задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам (01.07.2007 - 01.10.2008)	522	Филиалами кредитных организаций других регионов, расположенными в данном регионе
Table4.26	Сведения о  задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам (01.07.2007 - 01.10.2008)	523	Кредитными организациями других регионов, не имеющими филиалов в данном регионе
Table4.27	Сведения о  задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам (01.07.2007 - 01.10.2008)	528	Всего
Table4.28	Структура вложений кредитных организаций в ценные бумаги	529	Вложение в долговые обязательства - всего
Table3.12	Объем выпущенных кредитными организациями депозитных и сберегательных сертификатов и облигаций	449	Сберегательные сертификаты
Table3.12	Объем выпущенных кредитными организациями депозитных и сберегательных сертификатов и облигаций	448	Депозитные сертификаты
Table3.10	Средства организаций на счетах кредитных организаций в иностранной валюте	443	Прочие
Table3.10	Средства организаций на счетах кредитных организаций в иностранной валюте	442	Негосударственных организаций
Table3.10	Средства организаций на счетах кредитных организаций в иностранной валюте	441	Государственных организаций
Table3.9	Средства организаций на счетах кредитных организаций в рублях	440	Прочие
Table3.11	Данные об объемах бюджетных средств на счетах кредитных организаций	447	Средства внебюджетных фондов
Table3.11	Данные об объемах бюджетных средств на счетах кредитных организаций	446	Прочие бюджетные средства
Table3.11	Данные об объемах бюджетных средств на счетах кредитных организаций	445	Средства бюджетов субъектов Российской Федерации и местных бюджетов
Table3.11	Данные об объемах бюджетных средств на счетах кредитных организаций	444	Средства федерального бюджета
Table4.1	Объем задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам по отраслям экономики и физическим лицам (01.01.2001 - 01.01.2005)	108	физические лица
Table4.2	Объем задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по отраслям экономики и физическим лицам (01.01.2001 - 01.01.2005)	109	промышленность
Table4.1	Объем задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам по отраслям экономики и физическим лицам (01.01.2001 - 01.01.2005)	103	промышленность
Table4.1	Объем задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам по отраслям экономики и физическим лицам (01.01.2001 - 01.01.2005)	106	транспорт и связь
Table4.1	Объем задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам по отраслям экономики и физическим лицам (01.01.2001 - 01.01.2005)	107	прочее
Table4.1	Объем задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам по отраслям экономики и физическим лицам (01.01.2001 - 01.01.2005)	104	сельское хозяйство
Table4.1	Объем задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам по отраслям экономики и физическим лицам (01.01.2001 - 01.01.2005)	105	строительство
Tab30.1	Данные о просроченной задолженности по кредитам, депозитам и прочим размещенным средствам по кредитным организациям, зарегистрированным в данном регионе	641	по кредитам и прочим средствам, предоставленным физическим лицам в рублях
Tab30.1	Данные о просроченной задолженности по кредитам, депозитам и прочим размещенным средствам по кредитным организациям, зарегистрированным в данном регионе	640	по кредитам, депозитам и иным размещенным средствам, предоставленным кредитным организациям в иностранной валюте
Tab30.2	Данные о просроченной задолженности по кредитам, депозитам и прочим размещенным средствам (по головным офисам кредитных организаций и филиалам, расположенным на территории региона)	643	по кредитам и прочим размещенным средствам, предоставленным нефинансовым организациям в рублях
Tab30.1	Данные о просроченной задолженности по кредитам, депозитам и прочим размещенным средствам по кредитным организациям, зарегистрированным в данном регионе	642	по кредитам и прочим средствам, предоставленным физическим лицам в иностранной валюте
Tab30.2	Данные о просроченной задолженности по кредитам, депозитам и прочим размещенным средствам (по головным офисам кредитных организаций и филиалам, расположенным на территории региона)	645	по кредитам, депозитам и иным размещенным средствам, предоставленным кредитным организациям в рублях
Tab30.2	Данные о просроченной задолженности по кредитам, депозитам и прочим размещенным средствам (по головным офисам кредитных организаций и филиалам, расположенным на территории региона)	644	по кредитам и прочим размещенным средствам, предоставленным нефинансовым организациям в иностранной валюте
Tab30.2	Данные о просроченной задолженности по кредитам, депозитам и прочим размещенным средствам (по головным офисам кредитных организаций и филиалам, расположенным на территории региона)	647	по кредитам и прочим средствам, предоставленным физическим лицам в рублях
Tab30.2	Данные о просроченной задолженности по кредитам, депозитам и прочим размещенным средствам (по головным офисам кредитных организаций и филиалам, расположенным на территории региона)	646	по кредитам, депозитам и иным размещенным средствам, предоставленным кредитным организациям в иностранной валюте
Table3.8	Объем банковских вкладов (депозитов) юридических, физических лиц и индивидуальных предпринимателей в рублях и иностранной валюте, привлеченных кредитными организациями (01.07.2007)	436	Индивидуальных предпринимателей в рублях
Tab30.2	Данные о просроченной задолженности по кредитам, депозитам и прочим размещенным средствам (по головным офисам кредитных организаций и филиалам, расположенным на территории региона)	648	по кредитам и прочим средствам, предоставленным физическим лицам в иностранной валюте
Table3.8	Объем банковских вкладов (депозитов) юридических, физических лиц и индивидуальных предпринимателей в рублях и иностранной валюте, привлеченных кредитными организациями (01.07.2007)	434	Физических лиц в рублях
Table3.8	Объем банковских вкладов (депозитов) юридических, физических лиц и индивидуальных предпринимателей в рублях и иностранной валюте, привлеченных кредитными организациями (01.07.2007)	435	Физических лиц в иностранной валюте
Table3.8	Объем банковских вкладов (депозитов) юридических, физических лиц и индивидуальных предпринимателей в рублях и иностранной валюте, привлеченных кредитными организациями (01.07.2007)	432	Юридических лиц в рублях
Table3.8	Объем банковских вкладов (депозитов) юридических, физических лиц и индивидуальных предпринимателей в рублях и иностранной валюте, привлеченных кредитными организациями (01.07.2007)	433	Юридических лиц в иностранной валюте
Table1.16	Kонцентрация активов действующих кредитных организаций	430	Активы
Table1.16	Kонцентрация активов действующих кредитных организаций	431	Kоличество кредитных организаций, составляющих 80% активов
Table4.11	Объем задолженности по кредитам, предоставленным кредитными организациями физическим лицам  (01.04.2005 - 01.04.2006)	339	Всего в иностранной валюте
Table4.11	Объем задолженности по кредитам, предоставленным кредитными организациями физическим лицам  (01.04.2005 - 01.04.2006)	338	Ипотечные жилищные кредиты в рублях
Table4.10	Объем задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности (01.04.2005 - 01.04.2007)	335	Прочие виды деятельности
Table4.10	Объем задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности (01.04.2005 - 01.04.2007)	334	Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования
Table4.11	Объем задолженности по кредитам, предоставленным кредитными организациями физическим лицам  (01.04.2005 - 01.04.2006)	337	На покупку жилья в рублях
Table4.11	Объем задолженности по кредитам, предоставленным кредитными организациями физическим лицам  (01.04.2005 - 01.04.2006)	336	Всего в рублях
Table4.10	Объем задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности (01.04.2005 - 01.04.2007)	331	Сельское хозяйство, охота и лесное хозяйство
Table4.10	Объем задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности (01.04.2005 - 01.04.2007)	330	Производство и распределение электроэнергии, газа и воды
Table4.10	Объем задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности (01.04.2005 - 01.04.2007)	333	Транспорт и связь
Table4.10	Объем задолженности по кредитам в иностранной валюте, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности (01.04.2005 - 01.04.2007)	332	Строительство
Table4.37	Сведения о задолженности по кредитам юридических лиц и индивидуальных предпринимателей по видам экономической деятельности в иностранной валюте	744	Всего, в том числе добыча полезных ископаемых, в том числе добыча топливно-энергетических полезных ископаемых
Table4.37	Сведения о задолженности по кредитам юридических лиц и индивидуальных предпринимателей по видам экономической деятельности в иностранной валюте	745	Всего, в том числе обрабатывающие производства
Table4.37	Сведения о задолженности по кредитам юридических лиц и индивидуальных предпринимателей по видам экономической деятельности в иностранной валюте	748	Всего, в том числе строительство
Table4.37	Сведения о задолженности по кредитам юридических лиц и индивидуальных предпринимателей по видам экономической деятельности в иностранной валюте	749	Всего, в том числе транспорт и связь
Table1	Общая характеристика банковской сети региона	91	Количество кредитных организаций, имеющих лицензии (разрешения), предоставляющие им право на осуществление профессиональной деятельности на рынке ценных бумаг
Graf3	Динамика средневзвешенных процентных ставок по средствам, вложенным в ценные бумаги, %	90	по собственным векселям в валюте РФ, использованным для предоставления кредита
Table4.36	Сведения о задолженности по кредитам юридических лиц и индивидуальных предпринимателей по видам экономической деятельности в рублях	740	Всего, в том числе прочие виды деятельности
Table4.36	Сведения о задолженности по кредитам юридических лиц и индивидуальных предпринимателей по видам экономической деятельности в рублях	741	Всего, в том числе на завершение расчетов
Table4.37	Сведения о задолженности по кредитам юридических лиц и индивидуальных предпринимателей по видам экономической деятельности в иностранной валюте	742	Всего
Table4.37	Сведения о задолженности по кредитам юридических лиц и индивидуальных предпринимателей по видам экономической деятельности в иностранной валюте	743	Всего, в том числе добыча полезных ископаемых
Table4.30	Объем задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности (01.01.2008 - 01.10.2008)	559	Всего
Table4.30	Объем задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности (01.01.2008 - 01.10.2008)	558	Операции с недвижимым имуществом, аренда и предоставление услуг
Table4.37	Сведения о задолженности по кредитам юридических лиц и индивидуальных предпринимателей по видам экономической деятельности в иностранной валюте	746	Всего, в том числе производство и распределение электроэнергии, газа и воды
Table4.37	Сведения о задолженности по кредитам юридических лиц и индивидуальных предпринимателей по видам экономической деятельности в иностранной валюте	747	Всего, в том числе сельское хозяйство, охота и лесное хозяйство
