name	surname	firstname	midname	gender	ethnics	age	birthday	department	depjoindate	position	rank	rankdate	rankage
ВЕРШИНИН СЕРГЕЙ ВАСИЛЬЕВИЧ	Вершинин	Сергей	Васильевич	m	slav	58	24.07.1954	ДЕПАРТАМЕНТ БЛИЖНЕГО ВОСТОКА И СЕВЕРНОЙ АФРИКИ 	10.08.2011	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	29.08.2007	53
ВЕШНЯКОВ АЛЕКСАНДР АЛЬБЕРТОВИЧ	Вешняков	Александр	Альбертович	m	slav	60	24.11.1952	ПОСОЛЬСТВО РОССИИ В ЛАТВИИ 	11.01.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	29.04.2009	56
ВЛАДИМИР НИКОЛАЙ МИХАЙЛОВИЧ	Владимир	Николай	Михайлович	m	slav	65	06.12.1947	ПОСОЛЬСТВО РОССИИ В НИКАРАГУА 	14.11.2007	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	11.02.2008	60
ВЛАСОВ ВАЛЕНТИН СТЕПАНОВИЧ	Власов	Валентин	Степанович	m	slav	66	20.08.1946	ПОСОЛЬСТВО РОССИИ В КИРГИЗИИ 	16.01.2007	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	28.12.2004	58
ВНУКОВ КОНСТАНТИН ВАСИЛЬЕВИЧ	Внуков	Константин	Васильевич	m	slav	61	09.05.1951	ПОСОЛЬСТВО РОССИИ В КОРЕЕ 	17.07.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	25.07.2011	60
ВОРОНКОВ ВЛАДИМИР ИВАНОВИЧ	Воронков	Владимир	Иванович	m	slav	59	21.06.1953	ПОСТПРЕДСТВО РОССИИ ПРИ МО В ВЕНЕ, АВСТРИЯ 	26.07.2011	ПОСТОЯННЫЙ ПРЕДСТАВИТЕЛЬ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	17.01.2011	57
ГАРМОНИН СЕРГЕЙ ВИКТОРОВИЧ	Гармонин	Сергей	Викторович	m	slav	59	01.05.1953	ДЕПАРТАМЕНТ СПЕЦИАЛЬНОЙ СВЯЗИ	15.12.2009	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	10.02.2012	58
ГАТИЛОВ ГЕННАДИЙ МИХАЙЛОВИЧ	Гатилов	Геннадий	Михайлович	m	slav	62	25.08.1950	 РУКОВОДСТВО 	24.01.2011	ЗАМ.МИНИСТРА ИНОСТРАННЫХ ДЕЛ РОССИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	12.07.2010	59
ГЕВОРГЯН КИРИЛЛ ГОРАЦИЕВИЧ	Геворгян	Кирилл	Горациевич	m	slav,arm	59	08.04.1953	ПРАВОВОЙ ДЕПАРТАМЕНТ 	01.12.2009	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	29.08.2007	54
ГОЛОВИН АЛЕКСАНДР ВАСИЛЬЕВИЧ	Головин	Александр	Васильевич	m	slav	63	05.12.1949	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 	05.12.2009	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	06.05.2003	53
ГРИНИН ВЛАДИМИР МИХАЙЛОВИЧ	Гринин	Владимир	Михайлович	m	slav	65	15.11.1947	ПОСОЛЬСТВО РОССИИ В ФРГ 	02.07.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	25.01.1999	51
ГРУШКО АЛЕКСАНДР ВИКТОРОВИЧ	Грушко	Александр	Викторович	m	slav	57	25.04.1955	 РУКОВОДСТВО 	06.09.2005	ЗАМ.МИНИСТРА ИНОСТРАННЫХ ДЕЛ РОССИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	12.07.2004	49
ДЕНИСОВ АНДРЕЙ ИВАНОВИЧ	Денисов	Андрей	Иванович	m	slav	60	03.10.1952	 РУКОВОДСТВО 	08.04.2006	1-Й ЗАМ.МИНИСТРА ИНОСТР.ДЕЛ РОССИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	29.04.2003	50
ДУЛЬЯН АЛЕКСЕЙ ГАЙКОВИЧ	Дульян	Алексей	Гайкович	m	slav,arm	65	10.09.1947	ПОСОЛЬСТВО РОССИИ В МАЛИ 	14.07.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	30.07.2012	64
ДОРОХИН ВЛАДИМИР ДМИТРИЕВИЧ	Дорохин	Владимир	Дмитриевич	m	slav	64	19.12.1948	ПОСОЛЬСТВО РОССИИ В АЗЕРБАЙДЖАНЕ 	24.02.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	22.11.2010	61
ЕЛИЗАРОВ НИКОЛАЙ МИХАЙЛОВИЧ	Елизаров	Николай	Михайлович	m	slav	75	01.05.1937	РОТАЦИОННЫЙ РЕЗЕРВ 	15.08.2008	ЭКСПЕРТ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	24.01.1992	54
ЕРМАКОВ АЛЕКСЕЙ АЛЕКСАНДРОВИЧ	Ермаков	Алексей	Александрович	m	slav	61	27.03.1951	ПОСОЛЬСТВО РОССИИ В ПАНАМЕ 	07.07.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	21.01.2003	51
ЗАВГАЕВ ДОКУ ГАПУРОВИЧ	Завгаев	Доку	Гапурович	m		72	22.12.1940	ПОСОЛЬСТВО РОССИИ В СЛОВЕНИИ 	23.09.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	27.07.1998	57
ЗМЕЕВСКИЙ АЛЕКСАНДР ВЛАДИМИРОВИЧ	Змеевский	Александр	Владимирович	m	slav	55	14.07.1957	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 	06.10.2011	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	28.07.2008	51
ЗОТИН ВИКТОР ГАВРИЛОВИЧ	Зотин	Виктор	Гаврилович	m	slav	65	04.12.1947	ПОСОЛЬСТВО РОССИИ НА ЯМАЙКЕ 	03.01.2007	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	10.02.2012	64
ЗУРАБОВ МИХАИЛ ЮРЬЕВИЧ	Зурабов	Михаил	Юрьевич	m	slav	59	03.10.1953	ПОСОЛЬСТВО РОССИИ НА УКРАИНЕ 	05.08.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	12.06.2011	57
ИВАНОВ АЛЕКСАНДР АНАТОЛЬЕВИЧ	Иванов	Александр	Анатольевич	m	slav	60	09.05.1952	ПОСОЛЬСТВО РОССИИ В ИНДОНЕЗИИ 	02.02.2007	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	08.11.2010	58
ИВАНОВСКИЙ ВЛАДИМИР ЕВГЕНЬЕВИЧ	Ивановский	Владимир	Евгеньевич	m	slav	64	09.05.1948	ПОСОЛЬСТВО РОССИИ В ТУРЦИИ 	27.02.2007	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	16.01.2006	57
ИСАКОВ ЮРИЙ НИКОЛАЕВИЧ	Исаков	Юрий	Николаевич	m	slav	64	18.03.1948	ПОСОЛЬСТВО РОССИИ В БОЛГАРИИ 	16.08.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	13.04.2009	61
КАБАНОВ ОЛЕГ ВИКТОРОВИЧ	Кабанов	Олег	Викторович	m	slav	58	28.04.1954	ПОСОЛЬСТВО РОССИИ В ЛНДР 	03.02.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	08.11.2010	56
КАБУЛОВ ЗАМИР НАБИЕВИЧ	Кабулов	Замир	Набиевич	m		58	22.06.1954	ВТОРОЙ ДЕПАРТАМЕНТ АЗИИ 	17.05.2011	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	12.07.2010	56
КАДАКИН АЛЕКСАНДР МИХАЙЛОВИЧ	Кадакин	Александр	Михайлович	m	slav	63	22.07.1949	ПОСОЛЬСТВО РОССИИ В ИНДИИ 	27.10.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	24.01.1994	44
КАЛУГИН АЛЕКСАНДР МИХАЙЛОВИЧ	Калугин	Александр	Михайлович	m	slav	67	20.09.1945	ПОСОЛЬСТВО РОССИИ В ИОРДАНИИ 	07.03.2006	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	22.07.2003	57
КАМЫНИН МИХАИЛ ЛЕОНИДОВИЧ	Камынин	Михаил	Леонидович	m	slav	56	13.08.1956	ПОСОЛЬСТВО РОССИИ НА КУБЕ 	14.04.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	13.11.2007	51
КАРАСИН ГРИГОРИЙ БОРИСОВИЧ	Карасин	Григорий	Борисович	m	slav	63	23.08.1949	 РУКОВОДСТВО 	19.10.2005	СТАТС-СЕКРЕТАРЬ-ЗАМ.МИНИСТРА ИН.ДЕЛ РФ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	02.03.1995	45
КАРЛОВ АНДРЕЙ ГЕННАДЬЕВИЧ	Карлов	Андрей	Геннадьевич	m	slav	59	04.02.1954	КОНСУЛЬСКИЙ ДЕПАРТАМЕНТ 	16.02.2010	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	22.03.2011	57
КАРПУШИН АЛЕКСАНДР РОМАНОВИЧ	Карпушин	Александр	Романович	m	slav	63	16.04.1949	УПРАВЛЕНИЕ ДЕЛАМИ (ДЕПАРТАМЕНТ) 	24.01.2011	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	20.11.2009	60
КЕЛИН  АНДРЕЙ ВЛАДИМИРОВИЧ	Келин	Андрей	Владимирович	m	slav	55	15.05.1957	ПОСТПРЕДСТВО РОССИИ ПРИ ОБСЕ В ВЕНЕ, АВСТРИЯ 	07.06.2011	ПОСТОЯННЫЙ ПРЕДСТАВИТЕЛЬ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	14.11.2012	55
КЕМАРСКИЙ АНДРЕЙ ВАДИМОВИЧ	Кемарский	Андрей	Вадимович	m	slav	57	29.11.1955	ПОСОЛЬСТВО РОССИИ В МОЗАМБИКЕ 	27.08.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	14.12.2012	57
КИРПИЧЕНКО СЕРГЕЙ ВАДИМОВИЧ	Кирпиченко	Сергей	Вадимович	m	slav	61	13.08.1951	ПОСОЛЬСТВО РОССИИ В АРЕ 	07.09.2011	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	06.02.2007	55
КИСЕЛЕВ СЕРГЕЙ БОРИСОВИЧ	Киселев	Сергей	Борисович	m	slav	65	16.10.1947	ПОСОЛЬСТВО РОССИИ В ЧЕХИИ 	30.08.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	05.05.1999	51
КИСЛЯК СЕРГЕЙ ИВАНОВИЧ	Кисляк	Сергей	Иванович	m	slav	62	07.09.1950	ПОСОЛЬСТВО РОССИИ В США 	26.07.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	18.07.1995	44
КЛИМЕНКО АНАТОЛИЙ ИВАНОВИЧ	Клименко	Анатолий	Иванович	m	slav	65	12.11.1947	ПОСОЛЬСТВО РОССИИ В ДЕМ.РЕСПУБЛИКЕ КОНГО (КИНШАСА)  	27.08.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	21.05.2010	62
КОВАЛЕНКО ВЯЧЕСЛАВ ЕВГЕНЬЕВИЧ	Коваленко	Вячеслав	Евгеньевич	m	slav	66	27.03.1946	ПОСОЛЬСТВО РОССИИ В АРМЕНИИ 	08.07.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	25.10.2008	62
КОЛОДКИН РОМАН АНАТОЛЬЕВИЧ	Колодкин	Роман	Анатольевич	m	slav	52	29.07.1960	ПОСОЛЬСТВО РОССИИ В НИДЕРЛАНДАХ 	05.11.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	21.10.2010	50
КОНДРАШЕВ ИГОРЬ СЕРГЕЕВИЧ	Кондрашев	Игорь	Сергеевич	m	slav	64	13.10.1948	ПОСОЛЬСТВО РОССИИ В НИКАРАГУА 	29.11.2005	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	17.01.2011	62
КОНУЗИН АЛЕКСАНДР ВАСИЛЬЕВИЧ	Конузин	Александр	Васильевич	m	slav	65	25.12.1947	ПОСОЛЬСТВО РОССИИ В СЕРБИИ 	27.03.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	11.03.2009	61
КОРСУН АНАТОЛИЙ НИКОЛАЕВИЧ	Корсун	Анатолий	Николаевич	m	slav	65	19.10.1947	ПОСОЛЬСТВО РОССИИ В БОТСВАНЕ 	29.02.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	14.11.2012	65
КОРЧАГИН ЮРИЙ ПЕТРОВИЧ	Корчагин	Юрий	Петрович	m	slav	62	28.12.1950	ПОСОЛЬСТВО РОССИИ В ИСПАНИИ 	20.02.2012	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	24.01.2008	57
КРАМАРЕНКО АЛЕКСАНДР МИХАЙЛОВИЧ	Крамаренко	Александр	Михайлович	m	slav	60	15.03.1952	ПОСОЛЬСТВО РОССИИ В ВЕЛИКОБРИТАНИИ 	17.07.2011	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	23.04.2008	56
КУЗНЕЦОВ АЛЕКСАНДР ИГОРЕВИЧ	Кузнецов	Александр	Игоревич	m	slav	61	18.10.1951	None	None		ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	12.07.2004	52
КУЗЬМИН ВАЛЕРИЙ ИВАНОВИЧ	Кузьмин	Валерий	Иванович	m	slav	59	24.06.1953	None	None		ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	17.11.2009	56
КУЛЬМУХАМЕТОВ АЗАМАТ РАХМЕТОВИЧ 	Кульмухаметов	Азамат	Рахметович	m	tur	59	06.08.1953	ПОСОЛЬСТВО РОССИИ В СИРИИ 	07.09.2011	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	01.05.2012	58
КУШАКОВ АНДРЕЙ АНАТОЛЬЕВИЧ	Кушаков	Андрей	Анатольевич	m	slav	60	20.05.1952	ПОСОЛЬСТВО РОССИИ В ЗИМБАБВЕ 	15.12.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	06.09.2011	59
ЛАВРОВ СЕРГЕЙ ВИКТОРОВИЧ	Лавров	Сергей	Викторович	m	slav	62	21.03.1950	 РУКОВОДСТВО 	09.03.2004	МИНИСТР ИНОСТРАННЫХ ДЕЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	05.06.1992	42
ЛУКОВ ВАДИМ БОРИСОВИЧ	Луков	Вадим	Борисович	m	slav	59	30.06.1953	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 	14.12.2009	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	30.04.2003	49
ЛУНЬКОВ НИКОЛАЙ МИТРОФАНОВИЧ	Луньков	Николай	Митрофанович	m	slav	94	07.01.1919	ГРУППА ВНЕШТАТНЫХ КОНСУЛЬТАНТОВ 	01.04.1992	ВНЕШТАТНЫЙ КОНСУЛЬТАНТ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	18.01.1962	43
ЛЯКИН-ФРОЛОВ ИГОРЬ СЕМЕНОВИЧ	Лякин-Фролов	Игорь	Семенович	m	slav	64	10.09.1948	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 	01.07.2010	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	29.12.2005	57
МАКАРЕНКО АЛЕКСАНДР МИХАЙЛОВИЧ	Макаренко	Александр	Михайлович	m	slav	63	28.08.1949	ПОСОЛЬСТВО РОССИИ В КЕНИИ 	23.12.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	18.02.2002	52
МАКАРОВ АНАТОЛИЙ АНАТОЛЬЕВИЧ	Макаров	Анатолий	Анатольевич	m	slav	61	31.10.1951	ПОСОЛЬСТВО РОССИИ В ЮАР 	21.07.2006	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	27.07.2004	52
МАЛАЯН ЭДУАРД РУБЕНОВИЧ	Малаян	Эдуард	Рубенович	m	slav,arm	65	03.09.1947	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 	12.10.2009	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	14.11.2007	60
МАМЕДОВ ГЕОРГИЙ ЭНВЕРОВИЧ	Мамедов	Георгий	Энверович	m	slav	65	09.09.1947	ПОСОЛЬСТВО РОССИИ В КАНАДЕ 	15.06.2003	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	05.06.1992	44
МАРКАРЯН РОБЕРТ ВАРТАНОВИЧ	Маркарян	Роберт	Вартанович	m	arm	63	20.04.1949	ПОСОЛЬСТВО РОССИИ В ХОРВАТИИ 	23.07.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	15.11.1999	50
МАРЬЯСОВ АЛЕКСАНДР ГЕОРГИЕВИЧ	Марьясов	Александр	Георгиевич	m	slav	65	26.07.1947	ПОСОЛЬСТВО РОССИИ В ТАИЛАНДЕ 	03.02.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	13.11.2007	60
